;;;"EE Professor Edson Vianei Alves - PEI
Agenda";;;;;;
;"Semana de:
";março 1;;;;;;;
7;13:45:00 14:35:00;;;;;;;;
;14:35:00 14:50:00;;;;;;;;
8;14:50:00 15:40:00;;APOIO PRESENCIAL: Química - 2ª A;ATPCG / CLUBES;;;Planejamento de ATPCG;;
9;15:40:00 16:30:00;;;ATPCG / CLUBES;;;Planejamento de ATPCG;;
;;;;;;;;;
;OBSERVAÇÕES;;;;;TAREFAS;;;
;CALENDÁRIO PEI: 09/03 - início dos clubes;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;"Semana de:
";março 15;;;;;;;
;;15/03;16/03;17/03;18/03;19/03;20/03;21/03;
;;DOMINGO;SEGUNDA-FEIRA;TERÇA-FEIRA;QUARTA-FEIRA;QUINTA-FEIRA;SEXTA-FEIRA;SÁBADO;
1;07:30:00 08:20:00;;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;
2;08:20:00 09:10:00;;;;;;;;
;09:10:00 09:25:00;;;;;;;;
3;09:25:00 10:15:00;;;;;;;;
4;10:15:00 11:05:00;;;;;;;;
5;11:05:00 11:55:00;;;;;;;;
;11:55:00 12:55:00 ;;;;;;;;
6;12:55:00 13:45:00;;;;;;;;
7;13:45:00 14:35:00;;;;;;;;
;14:35:00 14:50:00;;;;;;;;
8;14:50:00 15:40:00;;;;;;;;
9;15:40:00 16:30:00;;;;;;;;
;;;;;;;;;
;OBSERVAÇÕES;;;;;TAREFAS;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;"Semana de:
";março 22;;;;;;;
;;22/03;23/03;24/03;25/03;26/03;27/03;28/03;
;;DOMINGO;SEGUNDA-FEIRA;TERÇA-FEIRA;QUARTA-FEIRA;QUINTA-FEIRA;SEXTA-FEIRA;SÁBADO;
1;07:30:00 08:20:00;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;FÉRIAS;
2;08:20:00 09:10:00;;;;;;;;
;09:10:00 09:25:00;;;;;;;;
3;09:25:00 10:15:00;;;;;;;;
4;10:15:00 11:05:00;;;;;;;;
5;11:05:00 11:55:00;;;;;;;;
;11:55:00 12:55:00 ;;;;;;;;
6;12:55:00 13:45:00;;;;;;;;
7;13:45:00 14:35:00;;;;;;;;
;14:35:00 14:50:00;;;;;;;;
8;14:50:00 15:40:00;;;;;;;;
9;15:40:00 16:30:00;;;;;;;;
;;;;;;;;;
;OBSERVAÇÕES;;;;;TAREFAS;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;"Semana de:
";março 29;;;;;;;
;;29/03;30/03;31/03;01/04;02/04;03/04;04/04;
;;DOMINGO;SEGUNDA-FEIRA;TERÇA-FEIRA;QUARTA-FEIRA;QUINTA-FEIRA;SEXTA-FEIRA;SÁBADO;
1;07:30:00 08:20:00;FÉRIAS;FÉRIAS;;;;FERIADO;;
2;08:20:00 09:10:00;;;;;;;;
;09:10:00 09:25:00;;;;;;;;
3;09:25:00 10:15:00;;;TUTORIA ACADÊMICA;;TUTORIA: TURORES COM SEUS TUTORADOS;;;
4;10:15:00 11:05:00;;;;;;;;
5;11:05:00 11:55:00;;;;;;;;
;11:55:00 12:55:00 ;;;;;;;;
6;12:55:00 13:45:00;;;;;;;;
7;13:45:00 14:35:00;;;;;;;;
;14:35:00 14:50:00;;;;;;;;
8;14:50:00 15:40:00;;;ATPCG / CLUBES;;DISCIPLINAS ELETIVAS;;;
9;15:40:00 16:30:00;;;ATPCG / CLUBES;;DISCIPLINAS ELETIVAS;;;
;;;;;;;;;
;OBSERVAÇÕES;;;;;TAREFAS;;;
;MAPA CLASSE - SONDAGEM (?) - (até 10/04) - calendário SEDUC;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
